Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,190.8,0,0,133,148.4966,2.181697,0,0,0,0,0,0,84,84,0,0
0.09999999,S,0.09999999,0.010,0,0.5076413,0,38.02234,190.7968,0.00711964,0,132.9437,148.4966,2.18962,0,0,0,7.33500003814697,0,0,84,84,0,0
0.2,S,0.2,0.010,0,0.5076413,0,78.55994,190.7803,0.00711964,0,132.8875,148.4966,2.197544,0,0,0,7.33500003814697,0,0,84,84,0,0
0.3,S,0.3,0.010,0,0.5076413,0,141.118,190.7393,0.00711964,0,132.8312,148.4966,2.205467,0,0,0,7.33500003814697,0,0,84,84,0,0
0.3999999,S,0.3999999,0.010,0,0.5076413,0,220.1911,190.6647,0.007333684,0,132.7749,148.4966,2.21339,6.15712375217664,4.77770067411511,3.88378026775174,7.48389558200054,0.1204614,0.147926,84,84,0.001753354,0.002889585
0.4999998,S,0.4999998,0.010,0,0.5076411,0,314.2784,190.549,0.008484254,0,132.7186,148.4966,2.221313,21.3331382774968,20.599436342637,5.5467117405219,8.09672202300602,1.467342,0.6276512,84,84,0.06784166,0.04027036
0.5999997,S,0.5999997,0.010,0,0.5076408,0,439.3952,190.3825,0.01208721,0,132.6623,148.4966,2.229236,42.3901488448194,41.673504240656,7.76168560236588,9.81806719443885,4.668243,1.302242,84,84,0.3568923,0.1349017
0.6999996,S,0.6999996,0.01168321,0,0.5125873,0,577.5253,190.1507,0.02409131,0,132.6061,148.4966,2.237159,65.8029846752216,65.0054427199026,10.2139712627807,13.9666087286239,10.18631,2.220378,84,84,1.080405,0.3090131
0.7999995,S,0.7999995,0.01730735,0,0.5129141,0,668.616,189.8598,0.05289962,0,132.5498,148.4966,2.245082,81.367723473068,80.5012922044039,11.8426507425851,20.6392234867816,17.66159,3.344222,84,84,2.460703,0.5859716
0.8999994,S,0.8999994,0.02439666,0,0.5034403,0,735.6841,189.5328,0.1031623,0,132.4935,148.4966,2.253005,92.9311052137895,92.0099389762887,13.0522582657577,28.9300572469905,26.3552,4.596121,84,84,4.652008,0.9819865
0.9999993,S,0.9999993,0.03288533,0,0.4906842,0,836.7894,189.1671,0.1826707,0,132.4372,148.4966,2.260928,110.345644980402,109.338639296454,14.8735780140783,38.8722507270492,36.51273,6.001882,84,84,7.780617,1.510333
1.099999,S,1.099999,0.0430515,0,0.4769739,0,935.8958,188.7502,0.3042747,0,132.381,148.4966,2.268851,127.525724725862,126.431475412728,16.670107732616,50.7351095933209,48.4875,7.598643,84,84,12.01683,2.188909
1.199999,S,1.199999,0.05438563,0,0.4640683,0,978.9554,188.2971,0.4723417,0,132.3247,148.4966,2.276774,135.235777178441,134.101807025567,17.4762919847036,63.8430797317504,61.6328,9.318432,84,84,17.5174,3.03419
1.299999,S,1.299999,0.06627165,0,0.4527414,0,1007.007,187.8281,0.684071,0,132.2684,148.4966,2.284697,140.420508003323,139.259671592645,18.0184054738457,77.5569513997462,75.33493,11.09674,84,84,24.36156,4.054505
1.399999,S,1.399999,0.07864183,6.746272,0.5459569,0.7808256,1032.393,187.3453,1.161254,1.714341,132.2121,148.4966,2.29262,145.145976392921,143.9976,18.22212,91.8200199745441,89.55721,12.92388,83.99983,81.78841,32.62423,5.255403
1.499999,S,1.499999,0.09133992,5.974853,0.5146906,0.6925852,1044.104,186.8532,1.476287,2.042592,132.1558,148.4966,2.300543,147.574693279402,146.4187,18.43514,106.435293882856,104.1166,14.76037,83.99344,81.93108,42.37878,6.639445
1.599999,S,1.599999,0.1041248,5.374943,0.4931368,0.6234525,1030.134,186.3593,1.837369,2.379621,132.0996,148.4966,2.308466,145.577731886611,144.4338,18.2141,121.10419888138,118.7157,16.59844,83.97672,82.04069,53.59542,8.207608
1.699999,S,1.699999,0.1165726,4.905164,0.4822947,0.5687454,1000.151,185.8773,2.251227,2.710733,132.0433,148.4966,2.316389,140.779347486101,139.6581,17.73245,135.355788991762,132.8883,18.39221,83.94823,82.12012,66.25057,9.957555
1.799999,S,1.799999,0.1288262,4.51303,0.4734911,0.523452,1009.71,185.4039,2.697768,3.040146,131.987,148.4966,2.324312,142.804141889828,141.6641,18.00849,149.450106851905,146.8967,20.17307,83.90659,82.18058,80.30779,11.88555
1.899999,S,1.899999,0.1414939,4.156465,0.4656562,0.4824765,1048.802,184.9191,3.198688,3.375575,131.9307,148.4966,2.332235,149.978590709577,148.7853,18.88153,164.06956310365,161.4225,22.01799,83.85043,82.2328,95.79011,13.99433
1.999998,S,1.999998,0.1548296,3.821167,0.4584241,0.4439485,1088.399,184.4144,3.768154,3.713907,131.8745,148.4966,2.340158,157.288532739026,156.0331,19.83316,179.455362999928,176.7058,23.95857,83.77854,82.27866,112.7669,16.29237
2.099998,S,2.099998,0.168698,3.505858,0.4517618,0.4076523,1109.488,183.8937,4.405335,4.041628,131.8182,148.4966,2.348081,161.407006658504,160.0985,20.51078,195.41873394637,192.5578,25.98129,83.68974,82.31565,131.3059,18.78879
2.199998,S,2.199998,0.1828131,3.210217,0.4456837,0.3735842,1113.564,183.3661,5.099887,4.34125,131.7619,148.4966,2.356004,162.562549213488,161.2088,20.93574,211.632774223247,208.6523,28.05778,83.58302,82.3413,151.4461,21.4904
2.299998,S,2.299998,0.1970417,2.929467,0.4401255,0.341272,1124.986,182.8366,5.845945,4.599223,131.7056,148.4966,2.363927,165.011412530202,163.5939,21.58245,227.986657930847,224.8784,30.18328,83.45759,82.35542,173.2016,24.4019
2.399998,S,2.399998,0.2115665,2.656264,0.4349514,0.3098352,1139.751,182.2993,6.654446,4.806025,131.6493,148.4966,2.37185,168.063207951095,166.5658,22.38473,244.683307668901,241.4372,32.38904,83.31301,82.35933,196.5978,27.52985
2.499998,S,2.499998,0.2261114,2.391593,0.4301943,0.2793042,1119.573,181.7619,7.510602,4.938388,131.5931,148.4966,2.379773,164.941455829274,163.393,22.54798,261.337283964768,257.9445,34.63893,83.14916,82.35161,221.6524,30.88115
2.599998,S,2.599998,0.2404158,2.134133,0.4258696,0.249629,1113.914,181.2337,8.397073,4.980821,131.5368,148.4966,2.387696,164.36475277888,162.7356,23.08455,277.736168135198,274.1884,36.91543,82.96639,82.33208,248.3404,34.45838
2.699998,S,2.699998,0.2548484,1.878518,0.4219704,0.2201624,1123.024,180.7034,9.339076,4.928215,131.4805,148.4966,2.395619,166.408200030408,164.6647,24.02552,294.304039244107,290.5893,39.27751,82.76551,82.30226,276.6595,38.26723
2.799998,S,2.799998,0.2693229,1.625562,0.4186116,0.1909432,1114.124,180.1726,10.33526,4.764781,131.4242,148.4966,2.403542,165.240892958881,163.3929,24.64372,310.883186603549,306.9895,41.71398,82.5479,82.26199,306.6218,42.31633
2.899998,S,2.899998,0.2837868,1.37563,0.4155992,0.1620575,1123.245,179.6438,11.3789,4.482736,131.368,148.4966,2.411465,167.285245103367,165.2909,25.75406,327.477235190185,323.3915,44.23318,82.31549,82.21147,338.2212,46.61276
2.999998,S,2.999998,0.2985247,1.128736,0.4128979,0.1334841,1139.046,179.1082,12.49379,4.079368,131.3117,148.4966,2.419388,170.53873084264,168.3697,27.11278,344.392573397925,340.0979,46.88366,82.07082,82.15105,371.4766,51.16747
3.099998,S,3.099998,0.3134958,0.8874159,0.4105145,0.105503,1149.515,178.5666,13.68056,3.549791,131.2554,148.4966,2.427311,172.847727549489,170.495,28.42168,361.56041950951,357.0392,49.66453,81.81697,82.08091,406.4164,55.9938
3.199997,S,3.199997,0.3287381,0.6542484,0.4084386,0.0784177,1169.665,178.0182,14.9462,2.896552,131.1991,148.4966,2.435235,176.916348330798,174.3452,30.05238,379.050842069066,374.2835,52.59331,81.55756,82.00133,443.0654,61.10532
