,Time      (s),Ullage       ,,volume_m3
0,0,0.2001228339301578,4.002456679,0.000635105
1,0.001,0.2002456514687042,4.004913029,0.000635494
2,0.002,0.2003684534751847,4.00736907,0.000635884
3,0.003,0.2004912397464417,4.009824795,0.000636274
4,0.004,0.2006140103378759,4.012280207,0.000636663
5,0.005,0.2007367652419705,4.014735305,0.000637053
6,0.006,0.2008595044665155,4.017190089,0.000637443
7,0.007,0.200982228,4.01964456,0.000637832
8,0.008,0.2011049358941156,4.022098718,0.000638221
9,0.009,0.2012276281068814,4.024552562,0.000638611
10,0.01,0.2013503046586665,4.027006093,0.000639
11,0.011,0.2014729655542487,4.029459311,0.000639389
12,0.012,0.2015956107984082,4.031912216,0.000639779
13,0.013,0.2017182403959223,4.034364808,0.000640168
14,0.014,0.201840854,4.036817087,0.000640557
15,0.015,0.2019634526701033,4.039269053,0.000640946
16,0.016,0.2020860353563123,4.041720707,0.000641335
17,0.017,0.2022086024149544,4.044172048,0.000641724
18,0.018,0.2023311538507922,4.046623077,0.000642113
19,0.019,0.2024536896685893,4.049073793,0.000642502
20,0.02,0.2025762098731041,4.051524197,0.000642891
21,0.021,0.2026987144690902,4.053974289,0.000643279
22,0.022,0.2028212034613037,4.056424069,0.000643668
23,0.023,0.2029436768544921,4.058873537,0.000644057
24,0.024,0.2030661346534067,4.061322693,0.000644445
25,0.025,0.203188577,4.063771537,0.000644834
26,0.026,0.2033110034873881,4.06622007,0.000645223
27,0.027,0.2034334145319397,4.068668291,0.000645611
28,0.028,0.20355581,4.0711162,0.000645999
29,0.029,0.2036781898998545,4.073563798,0.000646388
30,0.03,0.2038005542326846,4.076011085,0.000646776
31,0.031,0.2039229030044096,4.07845806,0.000647164
32,0.032,0.2040452362197503,4.080904724,0.000647553
33,0.033,0.2041675538834353,4.083351078,0.000647941
34,0.034,0.2042898560001866,4.08579712,0.000648329
35,0.035,0.2044121425747254,4.088242851,0.000648717
36,0.036,0.204534414,4.090688272,0.000649105
37,0.037,0.2046566691160301,4.093133382,0.000649493
38,0.038,0.2047789090922255,4.095578182,0.000649881
39,0.039,0.2049011335450637,4.098022671,0.000650269
40,0.04,0.2050233424792503,4.10046685,0.000650657
41,0.041,0.2051455358994938,4.102910718,0.000651045
42,0.042,0.2052677138104932,4.105354276,0.000651432
43,0.043,0.2053898762169513,4.107797524,0.00065182
44,0.044,0.2055120231235639,4.110240462,0.000652208
45,0.045,0.2056341545350261,4.112683091,0.000652595
