Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5247909692002199355920332927,0.52479096920022,0.513896076557857,0.52479096920022,0.513896076557857,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,1304438
0.02,0,0.5130411265279715826945439529,0.513041126527972,0.502146233885609,0.513041126527972,0.502146233885609,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,2608875
0.03,0,0.4945791512164095396100234791,0.49457915121641,0.483684258574047,0.49457915121641,0.483684258574047,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,3913312
0.04,0,0.4791114802629872478287448153,0.479111480262987,0.468216587620624,0.479111480262987,0.468216587620624,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,5217750
0.05,0,0.4664163493741027239068793714,0.466416349374103,0.45552145673174,0.466416349374103,0.45552145673174,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,6522188
0.06,0,0.4558211406751819044776288560,0.455821140675182,0.444926248032819,0.455821140675182,0.444926248032819,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,7826625
0.07,0,0.4468064217305720208247070039,0.446806421730572,0.435911529088209,0.446806421730572,0.435911529088209,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,9131063
0.08,0,0.4388049424822081016446713874,0.438804942482208,0.427910049839845,0.438804942482208,0.427910049839845,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,10435500
0.09,0,0.4391627460376736417295920135,0.439162746037674,0.428267853395311,0.439162746037674,0.428267853395311,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,11739940
0.10,0,0.4387813961654218798485255033,0.438781396165422,0.427886503523059,0.438781396165422,0.427886503523059,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,13044380
0.11,0,0.4379356111124416623606138855,0.437935611112442,0.427040718470079,0.437935611112442,0.427040718470079,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,14348810
0.12,0,0.4367950602399677913621491380,0.436795060239968,0.425900167597605,0.436795060239968,0.425900167597605,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,15653250
0.13,0,0.4354680781565939182489440234,0.435468078156594,0.424573185514231,0.435468078156594,0.424573185514231,0,0,0,0,7.043433546418624,148.49659979467400763888862682,148.49659979467400763888862682,16957690
